194268 (2001 UY4)	 2015-Oct-21	0.1496	58.2	610 m - 1.4 km	18.2	23.87
(2013 JR22)	 2015-Oct-21	0.1558	60.6	170 m - 380 m	21.0	18.71
(1999 UQ)	 2015-Oct-21	0.1902	74.0	120 m - 260 m	21.8	13.25
(2012 UT9)	 2015-Oct-21	0.1579	61.4	48 m - 110 m	23.7	16.30
(2001 TD)	 2015-Oct-21	0.1304	50.7	25 m - 57 m	25.1	5.22
(2015 TV237)	 2015-Oct-22	0.1359	52.9	34 m - 76 m	24.5	9.34
(2015 TZ143)	 2015-Oct-22	0.0108	4.2	16 m - 36 m	26.1	10.26
(2015 KT121)	 2015-Oct-22	0.1468	57.1	19 m - 43 m	25.7	5.99
(2013 UC1)	 2015-Oct-22	0.1361	53.0	31 m - 68 m	24.7	7.30
(2006 UY64)	 2015-Oct-22	0.0612	23.8	350 m - 780 m	19.4	13.81
(2015 TX178)	 2015-Oct-23	0.1580	61.5	42 m - 94 m	24.0	6.59
(2009 UC)	 2015-Oct-23	0.1668	64.9	13 m - 28 m	26.6	13.85
(2015 TA206)	 2015-Oct-23	0.1247	48.5	53 m - 120 m	23.5	9.00
(1998 XN2)	 2015-Oct-25	0.0776	30.2	320 m - 710 m	19.6	8.80
(2015 JD1)	 2015-Oct-25	0.1499	58.4	200 m - 450 m	20.6	10.36
(2009 UQ5)	 2015-Oct-26	0.1719	66.9	38 m - 86 m	24.2	6.64
154807 (2004 PP97)	 2015-Oct-26	0.1700	66.2	560 m - 1.2 km	18.4	11.24
(2015 TF)	 2015-Oct-27	0.0772	30.1	110 m - 240 m	22.0	14.31
(2015 TL238)	 2015-Oct-27	0.0342	13.3	32 m - 71 m	24.6	12.88
(2015 TL20)	 2015-Oct-27	0.0632	24.6	42 m - 94 m	24.0	8.60
(2015 TK1)	 2015-Oct-28	0.1577	61.4	97 m - 220 m	22.2	15.64
(2015 TX24)	 2015-Oct-29	0.0750	29.2	140 m - 310 m	21.4	33.16
(2011 TK5)	 2015-Oct-29	0.1499	58.4	73 m - 160 m	22.8	15.05
410777 (2009 FD)	 2015-Oct-29	0.0419	16.3	470 m	22.1	16.92
(2012 UB174)	 2015-Oct-29	0.1173	45.6	28 m - 62 m	24.9	15.35
(2015 UH)	 2015-Oct-29	0.0243	9.5	26 m - 58 m	25.1	9.87
(2015 TR238)	 2015-Oct-30	0.1229	47.8	27 m - 60 m	25.0	5.28
(2015 UC)	 2015-Oct-31	0.0549	21.4	32 m - 71 m	24.6	6.59
(2015 TN145)	 2015-Oct-31	0.0550	21.4	31 m - 68 m	24.7	7.82
(2015 RH2)	 2015-Oct-31	0.1003	39.0	110 m - 240 m	22.0	4.74
(2012 HN1)	 2015-Oct-31	0.1551	60.4	11 m - 24 m	27.0	9.73
(2015 TB145)	 2015-Oct-31	0.0033	1.3	290 m - 650 m	19.8	34.95
(2015 SC17)	 2015-Nov-01	0.0781	30.4	70 m - 160 m	22.9	9.61
(2006 VX2)	 2015-Nov-01	0.1553	60.4	28 m - 62 m	24.9	7.25
(2015 TD145)	 2015-Nov-02	0.1111	43.3	100 m - 230 m	22.1	11.96
(2010 UJ7)	 2015-Nov-03	0.1582	61.6	22 m - 49 m	25.4	13.31
(2015 TG238)	 2015-Nov-04	0.1863	72.5	78 m - 170 m	22.7	12.00
